2026-03-16T17:27:01 | INFO     | backend.api.main | StockTrader API starting  env=development  port=8000  paper_mode=True  angel_creds=False
2026-03-16T17:27:01 | INFO     | backend.api.main | No AngelOne credentials — running in replay/demo mode
2026-03-16T17:29:50 | INFO     | backend.core.middleware | GET /api/v1/paper/accounts -> 200 (1.1ms)
2026-03-16T17:29:55 | INFO     | backend.core.middleware | POST /api/v1/paper/accounts -> 201 (1.0ms)
2026-03-16T17:29:59 | INFO     | backend.core.middleware | GET /api/v1/market/status -> 200 (15.5ms)
2026-03-16T17:29:59 | INFO     | backend.core.middleware | GET /api/v1/stream/feed-status -> 200 (14.9ms)
2026-03-16T17:30:06 | INFO     | backend.core.middleware | GET /api/v1/model/status -> 200 (1.9ms)
2026-03-16T17:30:09 | INFO     | backend.core.middleware | GET /api/v1/market/status -> 200 (1.0ms)
2026-03-16T17:30:09 | INFO     | backend.core.middleware | GET /api/v1/bot/status -> 200 (2.5ms)
2026-03-16T17:30:12 | INFO     | backend.core.middleware | GET /api/v1/account/profile -> 200 (6.6ms)
2026-03-16T17:30:14 | INFO     | backend.core.middleware | GET /api/v1/bot/status -> 200 (0.3ms)
2026-03-16T17:30:19 | INFO     | backend.core.middleware | GET /api/v1/bot/status -> 200 (0.6ms)
2026-03-16T17:30:24 | INFO     | backend.core.middleware | GET /api/v1/bot/status -> 200 (0.4ms)
2026-03-16T17:30:28 | INFO     | backend.core.middleware | GET /api/v1/account/profile -> 200 (1.4ms)
2026-03-16T17:30:29 | INFO     | backend.core.middleware | GET /api/v1/bot/status -> 200 (0.3ms)
2026-03-16T17:30:34 | INFO     | backend.core.middleware | GET /api/v1/bot/status -> 200 (0.8ms)
2026-03-16T17:30:39 | INFO     | backend.core.middleware | GET /api/v1/market/status -> 200 (1.2ms)
2026-03-16T17:30:40 | INFO     | backend.core.middleware | GET /api/v1/stream/feed-status -> 200 (0.6ms)
2026-03-16T17:30:44 | INFO     | backend.core.middleware | GET /api/v1/market/status -> 200 (3.3ms)
2026-03-16T17:30:44 | INFO     | backend.core.middleware | GET /api/v1/stream/market-overview -> 200 (6.2ms)
2026-03-16T17:30:44 | INFO     | backend.core.middleware | GET /api/v1/stream/categories -> 200 (4.7ms)
2026-03-16T17:30:44 | INFO     | backend.core.middleware | GET /api/v1/stream/feed-status -> 200 (3.6ms)
2026-03-16T17:30:44 | INFO     | backend.core.middleware | GET /api/v1/stream/watchlist -> 200 (3.6ms)
2026-03-16T17:30:57 | INFO     | backend.core.middleware | POST /api/v1/stream/connect-live -> 200 (0.8ms)
2026-03-16T17:30:59 | INFO     | backend.core.middleware | GET /api/v1/stream/market-overview -> 200 (1.1ms)
2026-03-16T17:31:14 | INFO     | backend.core.middleware | GET /api/v1/market/status -> 200 (2.0ms)
2026-03-16T17:31:14 | INFO     | backend.core.middleware | GET /api/v1/stream/market-overview -> 200 (3.6ms)
2026-03-16T17:31:29 | INFO     | backend.core.middleware | GET /api/v1/stream/market-overview -> 200 (1.0ms)
2026-03-16T17:31:44 | INFO     | backend.core.middleware | GET /api/v1/market/status -> 200 (0.4ms)
2026-03-16T17:31:44 | INFO     | backend.core.middleware | GET /api/v1/stream/market-overview -> 200 (1.6ms)
2026-03-16T17:32:00 | INFO     | backend.core.middleware | GET /api/v1/stream/market-overview -> 200 (2.0ms)
2026-03-16T17:32:15 | INFO     | backend.core.middleware | GET /api/v1/market/status -> 200 (0.6ms)
2026-03-16T17:32:15 | INFO     | backend.core.middleware | GET /api/v1/stream/market-overview -> 200 (3.3ms)
2026-03-16T17:32:30 | INFO     | backend.core.middleware | GET /api/v1/stream/market-overview -> 200 (1.9ms)
2026-03-16T17:32:45 | INFO     | backend.core.middleware | GET /api/v1/market/status -> 200 (1.0ms)
2026-03-16T17:32:45 | INFO     | backend.core.middleware | GET /api/v1/stream/market-overview -> 200 (1.1ms)
2026-03-16T17:33:15 | INFO     | backend.core.middleware | GET /api/v1/market/status -> 200 (0.5ms)
2026-03-16T17:33:45 | INFO     | backend.core.middleware | GET /api/v1/market/status -> 200 (0.5ms)
